peopleCd,peopleNm,repRoleNm,filmoNames
10029772,발타자르 코루마쿠르,감독,어드리프트:우리가 함께한 바다|오스|에베레스트|투건스|콘트라밴드|살인의 기억|천국으로 가는 초라한 여행|폭풍의 계절|보이지 않는 세계|성난 바다|레이캬비크|버림받은 천사들|분열|아그네스의 원죄 
10065265,조규장,감독,목격자|그날의 분위기|낙타는 말했다|봉수
10038539,갈리나 미클리노바,감독,양말요정 휴고의 대모험
10086171,수잔나 포겔,감독,나를 차버린 스파이
10001386,젠디 타타코브스키,감독,몬스터 호텔 3|몬스터 호텔 2|몬스터 호텔
10045281,알폰소 쿠아론,감독,로마|그래비티|칠드런 오브 맨|해리포터와 아즈카반의 죄수|이투마마|위대한 유산 |러브 앤 히스테리|도대체 그 남자가 누구야
10077515,크리스토퍼 맥쿼리,감독,미션 임파서블: 폴아웃|미션 임파서블: 로그네이션|잭 리처|웨이 오브 더 건|유주얼 서스펙트
20100022,존 터틀타웁,감독,쿨 러닝 |닌자 키드
10085782,피터 버그,감독,마일22|패트리어트 데이|딥워터 호라이즌|론 서바이버 |배틀쉽|핸콕|킹덤|프라이데이 나잇 라이트|웰컴 투 더 정글|코르키 로마노|베리배드씽|기적의 터치다운|질주|영혼의 목걸이
10055319,이마이 카즈아키,감독,극장판 도라에몽: 진구의 보물섬
10032042,브래드 버드,감독,인크레더블 2|투모로우랜드|미션임파서블:고스트프로토콜|라따뚜이|인크레더블|심슨 가족|아이언 자이언트
20070799,고레에다 히로카즈,감독,어느 가족|세 번째 살인|태풍이 지나가고|바닷마을 다이어리|그렇게 아버지가 된다|엔딩노트|진짜로 일어날지도 몰라 기적|공기인형|걸어도 걸어도|하나|아무도 모른다|디스턴스|원더풀 라이프|환상의 빛|그러나... 복지를 버리는 시대로|또 하나의 교육
10004265,김병갑,감독,신비아파트: 금빛 도깨비와 비밀의 동굴|마당을 나온 암탉|쩨쩨한 로맨스|마법천자문: 대마왕의 부활을 막아라|아치와 씨팍|왕후 심청
20320378,김지운,케이블맨,마약왕
10018399,루벤 외스틀룬드,감독,더 스퀘어|포스 마쥬어: 화이트 베케이션|분별없는 행동
10083194,페이튼 리드,감독,앤트맨과 와스프|앤트맨|예스맨|브레이크 업 : 이별후애(愛)|다운 위드 러브|브링잇온
